name,region,gender,ai_score_pct,raw_score,elapsed_ms
Arjun Sharma,Indian,Male,25,0.318,85.22
Priya Patel,Indian,Female,25,0.318,0.35
Rahul Singh,Indian,Male,25,0.318,0.31
Neha Gupta,Indian,Female,25,0.318,0.3
Vikram Nair,Indian,Male,25,0.318,0.29
Ananya Krishnan,Indian,Female,25,0.318,0.27
Rohan Mehta,Indian,Male,25,0.318,0.27
Pooja Iyer,Indian,Female,25,0.318,0.26
Wei Zhang,Chinese,Male,25,0.318,0.26
Mei Lin,Chinese,Female,25,0.318,0.25
Hiroshi Tanaka,Japanese,Male,25,0.318,0.24
Yuki Sato,Japanese,Female,25,0.318,0.26
Jin-ho Kim,Korean,Male,25,0.318,0.22
Ji-Young Park,Korean,Female,25,0.318,0.21
James Smith,American,Male,25,0.318,0.21
Emily Johnson,American,Female,25,0.318,0.21
Michael Brown,American,Male,25,0.318,0.22
Sarah Williams,American,Female,25,0.318,0.25
David Miller,British,Male,25,0.318,0.25
Emma Davis,British,Female,25,0.318,0.26
Omar Hassan,Arab,Male,25,0.318,0.25
Fatima Al-Rashid,Arab,Female,25,0.318,0.25
Ahmed Khalil,Arab,Male,25,0.318,0.25
Layla Mahmoud,Arab,Female,25,0.318,0.25
Kwame Asante,African,Male,25,0.318,0.25
Amara Diallo,African,Female,25,0.318,0.25
Chukwu Okafor,Nigerian,Male,25,0.318,0.25
Ngo Adeyemi,Nigerian,Female,25,0.318,0.26
Carlos Rodriguez,Hispanic,Male,25,0.318,0.25
Maria Lopez,Hispanic,Female,25,0.318,0.25
Jose Martinez,Hispanic,Male,25,0.318,0.25
Isabella Garcia,Hispanic,Female,25,0.318,0.24
Andrei Petrov,Russian,Male,25,0.318,0.25
Natasha Ivanova,Russian,Female,25,0.318,0.25
Tomasz Kowalski,Polish,Male,25,0.318,0.38
Anna Wojciechowska,Polish,Female,25,0.318,0.36
